Keyword Stats 2026-06-09 at 12_14_06,,,,,,,,,,,,,,,,,,,,,,,,,
"May 1, 2025 - April 30, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026
ai budgeting app,USD,500,0%,0%,Medium,64,3.09,11.18,,,,,,,,,,,,,,,,,
ai budget planner,USD,500,0%,900%,High,72,3.65,11.41,,,,,,,,,,,,,,,,,
ai personal finance app,USD,50,0%,-90%,High,67,2.71,10.04,,,,,,,,,,,,,,,,,
ai money management app,USD,50,0%,0%,High,83,3.35,14.06,,,,,,,,,,,,,,,,,
ai expense tracker,USD,50,0%,0%,Medium,63,3.64,14.39,,,,,,,,,,,,,,,,,
ai financial assistant,USD,500,0%,900%,Low,15,5.36,25.54,,,,,,,,,,,,,,,,,
ai money app,USD,50,0%,0%,Medium,56,2.26,11.79,,,,,,,,,,,,,,,,,
ai finance software,USD,50,0%,0%,Medium,49,11.79,31.78,,,,,,,,,,,,,,,,,
ai personal finance assistant,USD,50,0%,0%,Medium,54,3.14,9.48,,,,,,,,,,,,,,,,,
ai finance machine learning software,USD,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
ai budget software,USD,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
budgeting app with ai,USD,50,0%,∞,Medium,60,2.57,11.65,,,,,,,,,,,,,,,,,
